iter	Passed	Remaining
0	0	61
1	1	57
2	1	53
3	2	48
4	2	48
5	3	47
6	3	46
7	4	46
8	4	45
9	5	45
10	5	44
11	6	44
12	6	43
13	6	42
14	7	42
15	7	41
16	8	41
17	8	40
18	9	40
19	9	39
20	10	39
21	10	38
22	11	38
23	11	37
24	12	37
25	13	37
26	13	37
27	14	36
28	14	36
29	15	35
30	15	35
31	16	35
32	17	34
33	17	34
34	18	34
35	19	33
36	19	33
37	20	33
38	21	33
39	22	33
40	23	33
41	23	32
42	24	32
43	24	31
44	25	31
45	26	31
46	27	31
47	28	30
48	29	30
49	29	29
50	30	29
51	31	29
52	32	28
53	33	28
54	33	27
55	34	26
56	35	26
57	35	25
58	36	25
59	37	24
60	37	24
61	38	23
62	39	23
63	40	22
64	40	22
65	41	21
66	42	20
67	43	20
68	44	19
69	44	19
70	45	18
71	46	17
72	46	17
73	47	16
74	48	16
75	48	15
76	49	14
77	50	14
78	50	13
79	51	12
80	52	12
81	52	11
82	53	10
83	53	10
84	54	9
85	55	8
86	55	8
87	56	7
88	57	7
89	57	6
90	58	5
91	59	5
92	60	4
93	60	3
94	61	3
95	61	2
96	62	1
97	62	1
98	63	0
99	64	0
